袁承志 [('青青', 0.59722501039505), ('韦小宝', 0.5577995181083679), ('焦宛儿', 0.5557922124862671), ('多隆', 0.5554175972938538), ('洪胜海', 0.5463778376579285), ('穆人清', 0.5451043844223022), ('完颜洪烈', 0.5366737246513367), ('胡斐', 0.4971747100353241), ('张召重', 0.49419283866882324), ('陈近南', 0.4913315176963806)]
黄蓉 [('杨过', 0.8117994070053101), ('欧阳锋', 0.7547358274459839), ('郭靖', 0.7529341578483582), ('黄药师', 0.7192626595497131), ('郭襄', 0.6925807595252991), ('洪七公', 0.6906004548072815), ('周伯通', 0.6844973564147949), ('小龙女', 0.6589915156364441), ('陆无双', 0.653498113155365), ('武三通', 0.6315143704414368)]
杨过 [('黄蓉', 0.8117994666099548), ('小龙女', 0.7985276579856873), ('郭靖', 0.7877666354179382), ('李莫愁', 0.7470971941947937), ('欧阳锋', 0.7414225935935974), ('黄药师', 0.7262893319129944), ('法王', 0.6763430237770081), ('郭襄', 0.6707555651664734), ('武三通', 0.6649258732795715), ('柯镇恶', 0.6374181509017944)]
令狐冲 [('岳不群', 0.7352237105369568), ('盈盈', 0.6372964382171631), ('左冷禅', 0.6267445683479309), ('俞岱岩', 0.6058960556983948), ('石破天', 0.6009785532951355), ('岳夫人', 0.5999348759651184), ('田伯光', 0.5675665736198425), ('岳灵珊', 0.5667975544929504), ('任我行', 0.5586450695991516), ('张无忌', 0.5428802371025085)]
韦小宝 [('康熙', 0.7718302011489868), ('索额图', 0.734282910823822), ('皇上', 0.7072708606719971), ('施琅', 0.6905516982078552), ('乾隆', 0.6694779992103577), ('费要多罗', 0.6342082619667053), ('吴三桂', 0.6282054781913757), ('公主', 0.6138565540313721), ('吴之荣', 0.6119030117988586), ('多隆', 0.6045823693275452)]
峨嵋派 [('本派', 0.7223036885261536), ('华山派', 0.7149252891540527), ('武当派', 0.6774415373802185), ('峨嵋', 0.6711875200271606), ('贵派', 0.6608545184135437), ('门下', 0.6408249735832214), ('青城派', 0.6358729600906372), ('一派', 0.6178311705589294), ('第四代', 0.612822949886322), ('韦陀门', 0.606776773929596)]
葵花宝典 [('九阴真经', 0.7423869967460632), ('成就', 0.7393814921379089), ('上代', 0.7170454263687134), ('秘奥', 0.6997765302658081), ('宝典', 0.6960001587867737), ('王重阳', 0.6907806992530823), ('秘诀', 0.6798321008682251), ('神通', 0.6770796775817871), ('才智', 0.674254834651947), ('钻研', 0.6726574897766113)]
九阴真经 [('经文', 0.7613109350204468), ('真经', 0.7424441576004028), ('葵花宝典', 0.7423869967460632), ('法门', 0.7373106479644775), ('秘笈', 0.7012843489646912), ('练成', 0.7007570862770081), ('滚瓜烂熟', 0.6990230083465576), ('宝典', 0.6961445212364197), ('秘诀', 0.6949171423912048), ('修习', 0.6889116764068604)]
袁承志 [('青青', 0.8321207761764526), ('何铁手', 0.7563806176185608), ('焦宛儿', 0.73509681224823), ('洪胜海', 0.7163307070732117), ('阿九', 0.6859924793243408), ('程青竹', 0.6679292321205139), ('何惕守', 0.6641486287117004), ('沙天广', 0.6169764399528503), ('崔秋山', 0.6154423356056213), ('穆人清', 0.6067624092102051)]
黄蓉 [('郭靖', 0.9048688411712646), ('洪七公', 0.8639653921127319), ('欧阳锋', 0.8508039116859436), ('周伯通', 0.8259311318397522), ('黄药师', 0.808832585811615), ('欧阳克', 0.7710778117179871), ('靖哥哥', 0.7596354484558105), ('蓉', 0.7566204071044922), ('黄蓉道', 0.7423366904258728), ('穆念慈', 0.7249600887298584)]
杨过 [('小龙女', 0.8149077892303467), ('郭襄', 0.7964937686920166), ('金轮法王', 0.7764447927474976), ('法王', 0.7746132016181946), ('李莫愁', 0.7444475889205933), ('朱子柳', 0.6897915601730347), ('陆无双', 0.6883792877197266), ('周伯通', 0.6840124130249023), ('武三通', 0.681389331817627), ('黄药师', 0.6733368039131165)]
令狐冲 [('盈盈', 0.8319492340087891), ('任我行', 0.7623758316040039), ('冲虚', 0.7604200839996338), ('岳不群', 0.7555186748504639), ('左冷禅', 0.7412029504776001), ('恒山', 0.730137825012207), ('方证', 0.711450457572937), ('岳先生', 0.6937503814697266), ('向问天', 0.6870913505554199), ('桃谷六仙', 0.6869032979011536)]
韦小宝 [('施琅', 0.772824227809906), ('索额图', 0.7612042427062988), ('佟国纲', 0.736808180809021), ('康熙', 0.72219318151474), ('吴之荣', 0.7088249325752258), ('郑克爽', 0.7081042528152466), ('皇上', 0.7016462087631226), ('台湾', 0.6995344758033752), ('苏荃', 0.6889874935150146), ('陈近南', 0.6853499412536621)]
峨嵋派 [('灭绝师太', 0.7778224945068359), ('峨嵋', 0.7689250111579895), ('武当派', 0.7356485724449158), ('本派', 0.734597384929657), ('武当', 0.6947146654129028), ('别派', 0.6861841678619385), ('郭襄郭', 0.6860575675964355), ('第二代', 0.6852330565452576), ('少林', 0.6799653768539429), ('宋夫人', 0.6766288876533508)]
葵花宝典 [('宝典', 0.8030036091804504), ('残本', 0.7978923320770264), ('手录', 0.7899168133735657), ('那宝典', 0.7295091152191162), ('这训', 0.7274553775787354), ('习之', 0.7256235480308533), ('所录', 0.7168220281600952), ('想夺', 0.7144618630409241), ('武经', 0.7067800164222717), ('这卷', 0.7040396928787231)]
九阴真经 [('真经', 0.8245108723640442), ('经文', 0.8131584525108337), ('这卷', 0.8089039921760559), ('下卷', 0.7961553931236267), ('总纲', 0.7881062030792236), ('滚瓜烂熟', 0.782174825668335), ('上卷', 0.7499107122421265), ('视为至宝', 0.7419134974479675), ('功诀', 0.7387032508850098), ('上下卷', 0.7376535534858704)]
